time,H1L1,H1L2,H1L3,H1L4,H2L1,H2L2,H3L2,H4L2
32507.25000000,123.4311875,123.4326668,123.4969849,123.5615952,120.8742839,120.8757249,120.9387108,121.0019802
32872.50000000,123.4993661,123.5007614,123.5615322,123.6225794,120.9401770,120.9415417,121.0013046,121.0613367
33237.75000000,123.5638479,123.5651667,123.6227060,123.6805073,121.0027543,121.0040495,121.0608737,121.1179543
33603.00000000,123.6249618,123.6262110,123.6808016,123.7356413,121.0623081,121.0635399,121.1176821,121.1720689
33968.25000000,123.6830026,123.6841882,123.7360842,123.7882171,121.1191022,121.1202762,121.1719682,121.2238940
34333.50000000,123.7382346,123.7393622,123.7887919,123.8384477,121.1733748,121.1744959,121.2239472,121.2736224
34698.75000000,123.7908958,123.7919703,123.8391397,123.8865251,121.2253411,121.2264139,121.2738137,121.3214284
35064.00000000,123.8412005,123.8422262,123.8873212,123.9326230,121.2751958,121.2762244,121.3217438,121.3674699
35429.25000000,123.8893421,123.8903231,123.9335118,123.9768988,121.3231148,121.3241028,121.3678969,121.4118900
35794.50000000,123.9354955,123.9364356,123.9778702,124.0194952,121.3692573,121.3702082,121.4124171,121.4548181
36159.75000000,123.9798193,123.9807216,124.0205403,124.0605422,121.4137677,121.4146843,121.4554352,121.4963716
36525.00000000,124.0224572,124.0233246,124.0616528,124.1001575,121.4567764,121.4576616,121.4970695,121.5366571
36890.25000000,124.0635395,124.0643749,124.1013266,124.1384487,121.4984020,121.4992582,121.5374275,121.5757710
37255.50000000,124.1031852,124.1039908,124.1396700,124.1755139,121.5387517,121.5395812,121.5766066,121.6138011
37620.75000000,124.1415021,124.1422804,124.1767817,124.2114424,121.5779230,121.5787278,121.6146952,121.6508272
37986.00000000,124.1785890,124.1793419,124.2127517,124.2463162,121.6160042,121.6167862,121.6517738,121.6869215
38351.25000000,124.2145356,124.2152650,124.2476625,124.2802099,121.6530757,121.6538366,121.6879152,121.7221500
38716.50000000,124.2494244,124.2501320,124.2815892,124.3131922,121.6892104,121.6899517,121.7231860,121.7565726
39081.75000000,124.2833303,124.2840177,124.3146008,124.3453258,121.7244748,121.7251979,121.7576465,121.7902439
39447.00000000,124.3163224,124.3169909,124.3467606,124.3766685,121.7589293,121.7596355,121.7913518,121.8232138
39812.25000000,124.3484636,124.3491146,124.3781265,124.4072732,121.7926289,121.7933192,121.8243520,121.8555275
40177.50000000,124.3798120,124.3804467,124.4087519,124.4371887,121.8256237,121.8262993,121.8566930,121.8872265
40542.75000000,124.4104208,124.4110403,124.4386857,124.4664597,121.8579594,121.8586212,121.8884164,121.9183486
40908.00000000,124.4403388,124.4409441,124.4679729,124.4951276,121.8896779,121.8903268,121.9195604,121.9489286
41273.25000000,124.4696111,124.4702031,124.4966551,124.5232305,121.9208171,121.9214539,121.9501598,121.9789981
41638.50000000,124.4982792,124.4988587,124.5247706,124.5508034,121.9514121,121.9520375,121.9802467,122.0085861
42003.75000000,124.5263812,124.5269491,124.5523547,124.5778789,121.9814946,121.9821093,122.0098503,122.0377192
42369.00000000,124.5539524,124.5545094,124.5794400,124.6044869,122.0110940,122.0116986,122.0389973,122.0664220
42734.25000000,124.5810254,124.5815722,124.6060566,124.6306553,122.0402370,122.0408320,122.0677123,122.0947168
43099.50000000,124.6076304,124.6081676,124.6322324,124.6564098,122.0689483,122.0695343,122.0960181,122.1226244
43464.75000000,124.6337951,124.6343233,124.6579933,124.6817741,122.0972504,122.0978278,122.1239354,122.1501637
43830.00000000,124.6595454,124.6600651,124.6833632,124.7067704,122.1251642,122.1257335,122.1514834,122.1773524
